opponent,games,wins,draws,losses,win_rate,draw_rate,loss_rate
Base Agent,100,89,9,2,0.89,0.09,0.02
CoacAI,100,100,0,0,1,0,0
Mayari,100,100,0,0,1,0,0
WorkerRushAI,100,35,10,55,0.35,0.1,0.55
PassiveAI,100,100,0,0,1,0,0
LightRushAI,100,100,0,0,1,0,0
RandomAI,100,100,0,0,1,0,0
RandomBiasedAI,100,97,3,0,0.97,0.03,0
Rojo,100,100,0,0,1,0,0
MixedBot,100,57,23,20,0.57,0.23,0.2
Izanagi,100,70,23,7,0.7,0.23,0.07
Tiamat,100,99,0,1,0.99,0,0.01
Droplet,100,62,16,22,0.62,0.16,0.22
GuidedRojoA3N,100,87,13,0,0.87,0.13,0
NaiveMCTS,100,2,98,0,0.02,0.98,0
overall,1500,1198,195,107,0.799,0.130,0.071
