opponent,games,wins,draws,losses,win_rate,draw_rate,loss_rate
BaseAgent,100,93,7,0,0.93,0.07,0
coacAI,100,100,0,0,1,0,0
mayari,100,100,0,0,1,0,0
workerRushAI,100,99,0,1,0.99,0,0.01
passiveAI,100,100,0,0,1,0,0
lightRushAI,100,100,0,0,1,0,0
randomAI,100,100,0,0,1,0,0
randomBiasedAI,100,100,0,0,1,0,0
rojo,100,100,0,0,1,0,0
mixedBot,100,60,26,14,0.6,0.26,0.14
izanagi,100,77,17,6,0.77,0.17,0.06
tiamat,100,100,0,0,1,0,0
droplet,100,74,15,11,0.74,0.15,0.11
guidedRojoA3N,100,91,9,0,0.91,0.09,0
naiveMCTSAI,100,4,96,0,0.04,0.96,0
overall,1500,1298,170,32,0.865,0.113,0.021
