opponent,games,wins,draws,losses,win_rate,draw_rate,loss_rate
Base Agent,200,185,15,0,0.925,0.075,0
coacAI,200,200,0,0,1,0,0
mayari,200,200,0,0,1,0,0
workerRushAI,200,199,0,1,0.995,0,0.005
passiveAI,200,200,0,0,1,0,0
lightRushAI,200,200,0,0,1,0,0
randomAI,200,200,0,0,1,0,0
randomBiasedAI,200,195,5,0,0.975,0.025,0
rojo,200,200,0,0,1,0,0
mixedBot,200,121,52,27,0.605,0.26,0.135
izanagi,200,145,43,12,0.725,0.215,0.06
tiamat,200,198,1,1,0.99,0.005,0.005
droplet,200,151,28,21,0.755,0.14,0.105
guidedRojoA3N,200,177,23,0,0.885,0.115,0
naiveMCTS,200,13,187,0,0.065,0.935,0
overall,3000,2584,354,62,0.861333333,0.118,0.020666667
