opponent,games,wins,draws,losses,win_rate,draw_rate,loss_rate
CoacAI,300,288,6,6,0.96,0.02,0.02
Mayari,300,202,16,82,0.673,0.053,0.273
WorkerRushAI,300,300,0,0,1,0,0
PassiveAI,300,299,1,0,0.997,0.003,0
LightRushAI,300,294,0,6,0.98,0,0.02
RandomAI,300,297,3,0,0.99,0.01,0
RandomBiasedAI,300,237,63,0,0.79,0.21,0
Rojo,300,243,41,16,0.81,0.137,0.053
MixedBot,300,130,67,103,0.433,0.223,0.343
Izanagi,300,215,36,49,0.717,0.12,0.163
Tiamat,300,279,0,21,0.93,0,0.07
Droplet,300,203,70,27,0.677,0.233,0.09
GuidedRojoA3N,300,224,71,5,0.747,0.237,0.017
NaiveMCTS,300,2,290,8,0.007,0.967,0.027
overall,4200,3213,664,323,0.765,0.158,0.077
