opponent,games,wins,draws,losses,win_rate,draw_rate,loss_rate
Base Agent,100,85,15,0,0.85,0.15,0
CoacAI,100,100,0,0,1,0,0
Mayari,100,100,0,0,1,0,0
WorkerRushAI,100,31,6,63,0.31,0.06,0.63
PassiveAI,100,100,0,0,1,0,0
LightRushAI,100,100,0,0,1,0,0
RandomAI,100,100,0,0,1,0,0
RandomBiasedAI,100,91,9,0,0.91,0.09,0
Rojo,100,100,0,0,1,0,0
MixedBot,100,45,22,33,0.45,0.22,0.33
Izanagi,100,68,17,15,0.68,0.17,0.15
Tiamat,100,94,0,6,0.94,0,0.06
Droplet,100,45,33,22,0.45,0.33,0.22
GuidedRojoA3N,100,64,36,0,0.64,0.36,0
NaiveMCTS,100,0,100,0,0,1,0
overall,1500,1123,238,139,0.749,0.159,0.093
